epoch 261 , loss = 1.0435516159424343 , time = 20.441091060638428
epoch 262 , loss = 1.1708772290588398 , time = 16.103607892990112
epoch 263 , loss = 1.0229304716436682 , time = 16.10072612762451
epoch 264 , loss = 1.020801552184336 , time = 16.23321270942688
epoch 265 , loss = 1.134808166485874 , time = 16.164023876190186
epoch 266 , loss = 1.0179158631620022 , time = 16.230726957321167
epoch 267 , loss = 1.025844064291981 , time = 16.18429136276245
epoch 268 , loss = 0.9731132533071687 , time = 16.20105743408203
epoch 269 , loss = 1.3759972066151758 , time = 16.17104411125183
epoch 270 , loss = 1.1751089405401276 , time = 18.239925384521484
epoch 271 , loss = 1.0312627265592378 , time = 17.723677396774292
epoch 272 , loss = 1.0918812165087457 , time = 16.369670629501343
epoch 273 , loss = 1.091349011987443 , time = 16.319516897201538
epoch 274 , loss = 1.0106476930705528 , time = 16.29082942008972
epoch 275 , loss = 1.1019998052063218 , time = 16.340299129486084
epoch 276 , loss = 1.1246059760525815 , time = 16.257116079330444
epoch 277 , loss = 1.0637886537146686 , time = 18.64374089241028
epoch 278 , loss = 1.278187259922918 , time = 20.855993509292603
epoch 279 , loss = 1.0495426046923977 , time = 20.620798587799072
epoch 280 , loss = 1.0390103126835086 , time = 22.43381428718567
epoch 281 , loss = 1.1956629738187852 , time = 17.18190836906433
epoch 282 , loss = 1.5764916864490643 , time = 16.192543745040894
epoch 283 , loss = 1.1707517688509552 , time = 16.130241870880127
epoch 284 , loss = 1.286210564144123 , time = 19.964853286743164
epoch 285 , loss = 1.0364283500218316 , time = 15.906822204589844
epoch 286 , loss = 1.0288432857704113 , time = 15.848822355270386
epoch 287 , loss = 1.084892412530566 , time = 15.937045097351074
epoch 288 , loss = 1.3125620596528715 , time = 15.997008562088013
epoch 289 , loss = 0.9969920505215853 , time = 15.99031114578247
epoch 290 , loss = 1.4086218755093987 , time = 17.590734481811523
epoch 291 , loss = 1.0864607250705611 , time = 21.820539712905884
epoch 292 , loss = 1.1341784970515278 , time = 19.548677682876587
epoch 293 , loss = 1.1382060077314384 , time = 16.069071292877197
epoch 294 , loss = 1.0028811859614288 , time = 15.942346811294556
epoch 295 , loss = 1.0679066268261883 , time = 15.879419088363647
epoch 296 , loss = 1.151565426775325 , time = 15.952816009521484
epoch 297 , loss = 1.1216518565998785 , time = 17.100154876708984
epoch 298 , loss = 1.0381346775887854 , time = 21.515740394592285
epoch 299 , loss = 1.0376131977820273 , time = 16.305107355117798
